Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
MBCHANGE,MBFId,RAW(16),Mã ID nhà đầu tư quỹ. FK → MBFUND.Id,FK,FK → MBFUND.Id
MBCHANGE,OldCapital,NUMBER(22),Vốn góp trước thay đổi,,
MBCHANGE,NewCapital,NUMBER(22),Vốn góp sau thay đổi,,
MBCHANGE,ChangeDate,DATE,Ngày thay đổi,,
MBCHANGE,Reason,NVARCHAR2(4000),Lý do thay đổi,,
MBCHANGE,Deleted,NUMBER(22),Trạng thái bản ghi,,
MBCHANGE,CreatedBy,NVARCHAR2(300),Người tạo,,
MBCHANGE,DateCreated,DATE,Ngày tạo,,
MBCHANGE,DateModified,DATE,Ngày sửa,,
MBFUND,Id,RAW(16),Mã ID nhà đầu tư quỹ (PK),PK,
MBFUND,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,FK,FK → FUNDS.Id
MBFUND,InvesId,RAW(16),Mã ID nhà đầu tư ủy thác. FK → INVES.Id,FK,FK → INVES.Id
MBFUND,Capital,NUMBER(22),Số lượng vốn góp,,
MBFUND,Ratio,NUMBER(22),Tỷ lệ sở hữu (%),,
MBFUND,Deleted,NUMBER(22),Trạng thái bản ghi,,
MBFUND,DateCreated,DATE,Ngày tạo,,
MBFUND,DateModified,DATE,Ngày sửa,,
MENUS,Id,RAW(16),Mã ID danh mục quyền. Mã hệ thống tự sinh (PK),PK,
MENUS,Title,NVARCHAR2(1500),Tên danh mục quyền,,
MENUS,Url,NVARCHAR2(1500),Điều hướng (URL),,
MENUS,Icon,NVARCHAR2(300),Icon hiển thị,,
MENUS,MenuType,NUMBER(22),Loại menu: 1 = Quyền; 0 = Menu,,
